Last name,First name,Title,Student?,Status,Regn. #,Days,Metadata,Scheduled,Invited,Rough Topic,Title,Abstract,Scheduling comments,Topic comments,,,,,,,,
Makkuva,Ashok Vardhan,MISTER,FALSE,ALMOST_CERTAINLY,235,"MAM,TAM,WAM,THAM,FAM",F|1|1|1,F-LLMs and Machine Learning,,ML-LLM-TH,Attention with Markov: A Framework for Principled Analysis of Transformers via Markov Chains,"Attention-based transformers have been at the forefront of recent breakthroughs in a variety of disciplines, including natural languages. In addition to the innovative architecture and the model scale, one of the key ingredients behind their success is the generative pretraining procedure. Capitalizing on their efficient processing of sequential data, these models are pretrained on large text corpora on the next-token prediction (NTP). Despite many interesting works on deciphering transformers, a precise characterization of the NTP objective on sequential learning capabilities of transformers is not well understood. This motivates the following fundamental question: How do transformers learn from sequential data?    To address this question, in this talk I will present our new framework for a principled theoretical and empirical analysis of transformers via Markov chains. The key idea underpinning our approach is the modeling of sequential input data as a Markov process, inspired by the Markovianity of natural languages. We utilize this framework to systematically study the interplay between the data-distributional properties, the transformer architecture, the learnt distribution, and the final model performance. In particular, we theoretically characterize the loss landscape of single-layer transformers and show the existence of global minima, bad local minima and saddle points contingent upon the specific data characteristics and the transformer architecture. Backed by experiments, we demonstrate that our theoretical findings are in congruence with the empirical results. We further investigate these findings in the broader context of higher order Markov chains and deeper architectures. We believe our framework provides a new avenue for a principled study of transformers with plenty of interesting open questions abound, which I will discuss in the end. Based on our recent work: https://arxiv.org/abs/2402.04161",I would like to present in the morning sessions if possible. Any day works.,"large language models,  transformers.",,,,,,,,
Mokhtari,Aryan,PROFESSOR,FALSE,ALMOST_CERTAINLY,45,"TH,F",F|1|1|2,F-LLMs and Machine Learning,,ML-TH-LLM,In-Context Learning with Transformers: Softmax Attention Adapts to Function Lipschitzness,"A striking property of transformers is their ability to perform in-context learning (ICL). We explore the role of ""softmax"" attention in an ICL setting where each context encodes a regression task. We show that an attention unit learns a window that it uses to implement a nearest-neighbors predictor adapted to the landscape of the pretraining tasks. Specifically, we show that this window widens with decreasing Lipschitzness and increasing label noise in the pretraining tasks. We also show that on low-rank, linear problems, the attention unit learns to project onto the appropriate subspace before inference. Further, we show that this adaptivity relies crucially on the softmax activation and thus cannot be replicated by the linear activation often studied in prior theoretical analyses.",I can only present my work on Thursday or Friday.,Transformers Theory.,,,,,,,,
Chen,Sitan,PROFESSOR,FALSE,ALMOST_CERTAINLY,224,F,F|1|1|3,F-LLMs and Machine Learning,,ML-LLM-TH,Provably learning a multi-head attention layer,"Despite the widespread empirical success of transformers, little is known about their learnability from a computational perspective. In practice these models are trained with SGD on a certain next-token prediction objective, but in theory it remains a mystery even to prove that such functions can be learned efficiently at all. In this work, we give the first nontrivial provable algorithms and computational lower bounds for this problem. Our results apply in a realizable setting where one is given random sequence-to-sequence pairs that are generated by some unknown multi-head attention layer. Our algorithm, which is centered around using examples to sculpt a convex body containing the unknown parameters, is a significant departure from existing provable algorithms for learning multi-layer perceptrons, which predominantly exploit fine-grained algebraic and rotation invariance properties of the input distribution.","Due to teaching commitments, I will only be able to attend on Friday","deep learning theory, computational learning theory, theoretical computer science",,,,,,,,
Dughmi,Shaddin,PROFESSOR,FALSE,PROBABLY,156,"THPM,F",F|1|1|4,F-LLMs and Machine Learning,,ML-TH,Regularization and Optimal Multiclass Learning,,Late in the day Thursday or any time Friday please. Friday preferred.,"Learning theory, learnability, characterizations of learning.",,,,,,,,
Oymak,Samet,PROFESSOR,FALSE,PROBABLY,85,"W,TH,F,INV",F|1|2|1,F-Large Language Models (Inv),LLM,,Understanding Self-Attention as a Context-Conditioned Markov Chain,"Modern language models rely on the self-attention mechanism to perform language understanding. In this talk, we discuss learning a 1-layer self-attention model from a set of prompts and associated output data sampled from the model. We first establish a connection to conditional Markov chains: Inputting a prompt to the model samples the output token according to a prompt-conditioned Markov chain which weights the transition matrix of a base chain. Building on this, we introduce coverage conditions for the prompt distribution that guarantee consistent estimation and establish sample complexity guarantees under IID samples. Finally we discuss the problem of learning from a single output trajectory generated from an initial prompt. We characterize a winner-takes-all phenomenon where the generative process implemented by self-attention collapses into sampling a limited subset of tokens. This provides a formal explanation of the tendency of modern LLMs to generate repetitive text.",,,,,,,,,,
Beirami,Ahmad,DOCTOR,FALSE,ALMOST_CERTAINLY,102,"W,TH,F,INV",F|1|2|2,F-Large Language Models (Inv),LLM,,Language Model Alignment: Theory & Practice,"Generative language models have advanced to a level where they can effectively solve a variety of open-domain tasks with little task specific supervision. However, the generated content from these models may still not satisfy the preference of a human user. The goal of the 𝑎𝑙𝑖𝑔𝑛𝑚𝑒𝑛𝑡 process is to remedy this issue by generating content from an aligned model that improves a reward (e.g., make the generation more safe) but does not perturb much from the base model. A simple baseline for this task is best-of-N, where N responses are drawn from the base model, ranked based on a reward, and the highest ranking one is selected. More sophisticated techniques generally solve a KL-regularized reinforcement learning (RL) problem with the goal of maximizing expected reward subject to a KL divergence constraint between the aligned model and the base model. An alignment technique is preferred if its reward-KL tradeoff curve dominates other techniques. In this talk, we give an overview of language model alignment and give an understanding of known results in this space through simplified examples. We also present a new modular alignment technique, called controlled decoding, which solves the KL-regularized RL problem while keeping the base model frozen through learning a prefix scorer, offering inference-time configurability. Finally, we also shed light on the remarkable performance of best-of-N in terms of achieving competitive or even better reward-KL tradeoffs when compared to state-of-the-art alignment baselines.",,,,,,,,,,
Sun,Ziteng,MISTER,FALSE,ALMOST_CERTAINLY,245,"W,TH,F,INV",F|1|2|3,F-Large Language Models (Inv),LLM,,SpecTr: Fast Speculative Decoding via Optimal Transport,"Autoregressive sampling from large language models has led to state-of-the-art results in several natural language tasks. However, autoregressive sampling generates tokens one at a time making it slow, and even prohibitive in certain tasks. One way to speed up sampling is speculative decoding: use a small model to sample a draft (block or sequence of tokens), and then score all tokens in the draft by the large language model in parallel. A subset of the tokens in the draft are accepted (and the rest rejected) based on a statistical method to guarantee that the final output follows the distribution of the large model. In this work, we provide a principled understanding of speculative decoding through the lens of optimal transport (OT) with membership cost. This framework can be viewed as an extension of the well-known maximal-coupling problem. This new formulation enables us to generalize the speculative decoding method to allow for a set of k candidates at the token-level, which leads to an improved optimal membership cost. We show that the optimal draft selection algorithm (transport plan) can be computed via linear programming, whose best-known runtime is exponential in $k$. We then propose a valid draft selection algorithm whose acceptance probability is $(1−1/e)$-optimal multiplicatively. Moreover, it can be computed in time almost linear with size of domain of a single token. Using this new draft selection algorithm, we develop a new autoregressive sampling algorithm called SpecTr, which provides speedup in decoding while ensuring that there is no quality degradation in the decoded output. We experimentally demonstrate that for state-of-the-art large language models, the proposed approach achieves a wall clock speedup of 2.13X, a further 1.37X speedup over speculative decoding on standard benchmarks.",,,,,,,,,,
Wang,Yu-Xiang,PROFESSOR,FALSE,ALMOST_CERTAINLY,260,"T,W,TH,F,INV",F|1|2|4,F-Large Language Models (Inv),LLM,,Watermarking LLMs with Permute-and-Flip Sampling,"We propose a new language model decoder based on Permute-and-Flip sampling invented from the differential privacy literature. It enjoys robustness properties similar to the standard sampling decoder, but is provably up to 2x better in its quality-robustness tradeoff than sampling and never worse than any other decoder. We also design a cryptographic watermarking scheme analogous to Aaronson's Gumbel watermark, but naturally tailored for PF decoder. The watermarking scheme does not change the distribution to sample while allowing arbitrarily low false positive rate and high recall whenever the generated text has high entropy.   Our experiments show that the PF decoder (and its watermarked counterpart) significantly outperform(s) naive sampling (and its Gumbel watermarked counterpart) in terms of perplexity, while retaining the same robustness (and detectability), hence making it a promising new approach for LLM decoding.",This is for the LLM session.  The organizers told me that it's either on Thursday or Friday.,,,,,,,,,
Lee,Kangwook,PROFESSOR,FALSE,ALMOST_CERTAINLY,36,"TH,F",F|1|3|1,F-Machine Learning and Efficiency,,ML-efficiency,The Expressive Power of Low-Rank Adaptation (LoRA),,,,,,,,,,,
Wang,Meng,PROFESSOR,FALSE,ALMOST_CERTAINLY,79,"TH,F",F|1|3|2,F-Machine Learning and Efficiency,,ML-efficiency,Provable Computational and Sample Efficiency of the Sparse Mixture of Experts Architecture,"The Mixture of Experts (MoE) architecture routes each input to a few subnetworks (termed as experts) rather than processing it through the entire network to reduce computation. We explore the application of patch-level MoEs in vision and language tasks and offer the first theoretical guarantee of their generalization performance. We demonstrate that MoEs can simultaneously reduce sample complexity, computational complexity, and model complexity while maintaining equivalent generalization accuracy.  Moreover, we provide the first provably efficient technique for pruning experts in fine-tuned MoE models to reduce the inference cost. All theoretical results are validated on practical MoE models on benchmark datasest.",Thursday and Friday,"deep learning, sparsity, theoretical analysis, computational efficiency",,,,,,,,
